"cluster","sample","group","sample_id","n_cells"
"3","GSE203115_3","ypN0","ypN06",194
"3","HRR1430835","ypN+","ypN.2",1057
"3","HRR1430840","ypN0","ypN01",179
"3","HRR1430849","ypN0","ypN03",719
"3","HRR1430852","ypN0","ypN02",1164
"3","HRR1430853","ypN+","ypN.4",611
"3","HRR1430854","ypN+","ypN.1",552
"3","HRR1430856","ypN+","ypN.5",636
"3","HRR1430859","ypN0","ypN04",563
"3","HRR1430863","ypN+","ypN.3",701
"3","HRR1430865","ypN+","ypN.6",479
"3","HRS849526","ypN0","ypN09",139
"3","HRS849531","ypN0","ypN010",5
"3","HRS849542","ypN+","ypN.8",104
"3","HRS849550","ypN0","ypN015",5
"4","GSE203115_1","ypN0","ypN05",130
"4","GSE203115_2","ypN+","ypN.7",114
"4","GSE203115_3","ypN0","ypN06",225
"4","HRR1430835","ypN+","ypN.2",922
"4","HRR1430840","ypN0","ypN01",107
"4","HRR1430849","ypN0","ypN03",522
"4","HRR1430852","ypN0","ypN02",986
"4","HRR1430853","ypN+","ypN.4",529
"4","HRR1430854","ypN+","ypN.1",359
"4","HRR1430856","ypN+","ypN.5",432
"4","HRR1430859","ypN0","ypN04",431
"4","HRR1430863","ypN+","ypN.3",490
"4","HRR1430865","ypN+","ypN.6",476
"4","HRS849523","ypN0","ypN08",6
"4","HRS849526","ypN0","ypN09",144
"4","HRS849531","ypN0","ypN010",3
"4","HRS849542","ypN+","ypN.8",91
"4","HRS849550","ypN0","ypN015",3
"5","GSE203115_1","ypN0","ypN05",146
"5","GSE203115_2","ypN+","ypN.7",305
"5","GSE203115_3","ypN0","ypN06",43
"5","HRR1430835","ypN+","ypN.2",17
"5","HRR1430840","ypN0","ypN01",37
"5","HRR1430849","ypN0","ypN03",128
"5","HRR1430852","ypN0","ypN02",19
"5","HRR1430853","ypN+","ypN.4",184
"5","HRR1430854","ypN+","ypN.1",94
"5","HRR1430856","ypN+","ypN.5",245
"5","HRR1430859","ypN0","ypN04",491
"5","HRR1430863","ypN+","ypN.3",52
"5","HRR1430865","ypN+","ypN.6",568
"5","HRS849523","ypN0","ypN08",871
"5","HRS849526","ypN0","ypN09",612
"5","HRS849531","ypN0","ypN010",362
"5","HRS849542","ypN+","ypN.8",393
"5","HRS849550","ypN0","ypN015",387
"6","GSE203115_1","ypN0","ypN05",107
"6","GSE203115_2","ypN+","ypN.7",111
"6","GSE203115_3","ypN0","ypN06",23
"6","HRR1430835","ypN+","ypN.2",17
"6","HRR1430840","ypN0","ypN01",49
"6","HRR1430849","ypN0","ypN03",144
"6","HRR1430852","ypN0","ypN02",19
"6","HRR1430853","ypN+","ypN.4",67
"6","HRR1430854","ypN+","ypN.1",91
"6","HRR1430856","ypN+","ypN.5",339
"6","HRR1430859","ypN0","ypN04",639
"6","HRR1430863","ypN+","ypN.3",70
"6","HRR1430865","ypN+","ypN.6",1216
"6","HRS849523","ypN0","ypN08",157
"6","HRS849526","ypN0","ypN09",221
"6","HRS849531","ypN0","ypN010",357
"6","HRS849542","ypN+","ypN.8",229
"6","HRS849550","ypN0","ypN015",420
"7","GSE203115_1","ypN0","ypN05",85
"7","GSE203115_2","ypN+","ypN.7",91
"7","GSE203115_3","ypN0","ypN06",143
"7","HRR1430835","ypN+","ypN.2",613
"7","HRR1430840","ypN0","ypN01",81
"7","HRR1430849","ypN0","ypN03",291
"7","HRR1430852","ypN0","ypN02",530
"7","HRR1430853","ypN+","ypN.4",257
"7","HRR1430854","ypN+","ypN.1",221
"7","HRR1430856","ypN+","ypN.5",467
"7","HRR1430859","ypN0","ypN04",165
"7","HRR1430863","ypN+","ypN.3",620
"7","HRR1430865","ypN+","ypN.6",459
"7","HRS849523","ypN0","ypN08",22
"7","HRS849526","ypN0","ypN09",35
"7","HRS849531","ypN0","ypN010",8
"7","HRS849542","ypN+","ypN.8",51
"7","HRS849550","ypN0","ypN015",1
"8","GSE203115_1","ypN0","ypN05",70
"8","GSE203115_2","ypN+","ypN.7",24
"8","GSE203115_3","ypN0","ypN06",53
"8","HRR1430835","ypN+","ypN.2",499
"8","HRR1430840","ypN0","ypN01",133
"8","HRR1430849","ypN0","ypN03",550
"8","HRR1430852","ypN0","ypN02",167
"8","HRR1430853","ypN+","ypN.4",143
"8","HRR1430854","ypN+","ypN.1",143
"8","HRR1430856","ypN+","ypN.5",248
"8","HRR1430859","ypN0","ypN04",309
"8","HRR1430863","ypN+","ypN.3",288
"8","HRR1430865","ypN+","ypN.6",149
"8","HRS849523","ypN0","ypN08",7
"8","HRS849526","ypN0","ypN09",99
"8","HRS849531","ypN0","ypN010",3
"8","HRS849542","ypN+","ypN.8",88
"8","HRS849550","ypN0","ypN015",3
"9","GSE203115_1","ypN0","ypN05",44
"9","GSE203115_2","ypN+","ypN.7",52
"9","GSE203115_3","ypN0","ypN06",84
"9","HRR1430835","ypN+","ypN.2",350
"9","HRR1430840","ypN0","ypN01",34
"9","HRR1430849","ypN0","ypN03",186
"9","HRR1430852","ypN0","ypN02",351
"9","HRR1430853","ypN+","ypN.4",180
"9","HRR1430854","ypN+","ypN.1",129
"9","HRR1430856","ypN+","ypN.5",154
"9","HRR1430859","ypN0","ypN04",150
"9","HRR1430863","ypN+","ypN.3",221
"9","HRR1430865","ypN+","ypN.6",193
"9","HRS849526","ypN0","ypN09",18
"9","HRS849542","ypN+","ypN.8",1
"9","HRS849550","ypN0","ypN015",2
